timestamp,cpu_percent,ram_mb
1737395004,107.00,1080.32
1737395005,105.00,1080.32
1737395006,109.00,1080.32
1737395007,107.00,1080.32
1737395008,105.00,1080.32
1737395009,108.00,1080.32
1737395010,104.00,1080.32
1737395011,106.00,1080.32
1737395012,104.00,1080.32
1737395013,105.00,1080.32
1737395014,106.00,1080.32
1737395015,105.00,1080.32
1737395016,106.00,1080.32
1737395017,106.00,1080.32
1737395018,109.00,1080.32
1737395019,105.00,1080.32
1737395020,107.00,1080.32
1737395021,105.00,1080.32
1737395022,114.00,1080.32
1737395023,107.00,1080.32
1737395024,109.00,1080.32
1737395025,104.00,1080.32
1737395026,109.00,1080.32
1737395027,110.00,1080.32
1737395028,104.00,1080.32
1737395029,107.00,1080.32
1737395030,105.00,1080.32
1737395031,108.00,1080.32
1737395032,106.00,1080.32
1737395033,105.00,1080.32
1737395034,109.00,1080.32
1737395035,106.00,1080.32
1737395036,105.00,1080.32
1737395037,105.00,1080.32
1737395038,107.00,1080.32
1737395039,105.00,1080.32
1737395040,105.00,1080.32
1737395041,106.00,1080.32
1737395042,105.00,1080.32
1737395043,105.00,1080.32
1737395044,110.00,1080.32
1737395045,105.00,1080.32
1737395046,105.00,1080.32
1737395047,107.00,1080.32
1737395048,105.00,1080.32
1737395049,105.00,1080.32
1737395050,106.00,1080.32
1737395051,106.00,1080.32
1737395052,108.00,1080.32
1737395053,105.00,1080.32
1737395054,105.00,1080.32
1737395055,113.00,1080.32
1737395056,109.00,1080.32
1737395057,105.00,1080.32
1737395058,111.00,1080.32
1737395059,105.00,1080.32
1737395060,112.00,1080.32
1737395061,111.00,1080.32
1737395062,107.00,1080.32
1737395063,105.00,1080.32
1737395064,110.00,1080.32
1737395065,105.00,1080.32
1737395066,109.00,1080.32
1737395067,107.00,1080.32
1737395068,110.00,1080.32
1737395069,104.00,1080.32
1737395070,107.00,1080.32
1737395071,108.00,1080.32
1737395072,106.00,1080.32
1737395073,106.00,1080.32
1737395074,106.00,1080.32
1737395075,110.00,1080.32
1737395076,107.00,1080.32
1737395077,109.00,1080.32
1737395078,109.00,1080.32
1737395079,106.00,1080.32
1737395080,110.00,1080.32
1737395081,108.00,1080.32
1737395082,110.00,1080.32
1737395083,108.00,1080.32
1737395084,105.00,1080.32
1737395085,115.00,1080.32
1737395086,105.00,1080.32
1737395087,106.00,1080.32
1737395088,107.00,1080.32
1737395089,105.00,1080.32
1737395090,104.00,1080.32
1737395091,112.00,1080.32
1737395092,110.00,1080.32
1737395093,105.00,1080.32
1737395094,113.00,1080.32
1737395095,106.00,1080.32
1737395096,110.00,1080.32
1737395097,113.00,1080.32
1737395098,111.00,1080.32
1737395099,105.00,1080.32
1737395100,110.00,1080.32
1737395101,110.00,1080.32
1737395102,105.00,1080.32
1737395103,107.00,1080.32
1737395104,105.00,1080.32
1737395105,109.00,1080.32
1737395106,106.00,1080.32
1737395107,110.00,1080.32
1737395108,109.00,1080.32
1737395109,110.00,1080.32
1737395110,105.00,1080.32
1737395111,122.00,1080.32
1737395112,106.00,1080.32
1737395113,108.00,1080.32
1737395114,109.00,1080.32
1737395115,107.00,1080.32
1737395116,105.00,1080.32
1737395117,105.00,1080.32
1737395118,107.00,1080.32
1737395119,109.00,1080.32
1737395120,114.00,1080.32
1737395121,108.00,1080.32
1737395122,109.00,1080.32
1737395123,105.00,1080.32
1737395124,107.00,1080.32
1737395125,105.00,1080.32
1737395126,108.00,1080.32
1737395127,107.00,1080.32
1737395128,110.00,1080.32
1737395129,106.00,1080.32
1737395130,107.00,1080.32
1737395131,109.00,1080.32
1737395132,108.00,1080.32
1737395133,112.00,1080.32
1737395134,108.00,1080.32
1737395135,143.00,1051.32
1737395136,369.00,1085.52
1737395137,369.00,1091.15
1737395138,120.00,1051.28
1737395139,105.00,1051.28
1737395140,109.00,1051.28
1737395141,104.00,1051.28
1737395142,109.00,1051.28
1737395143,106.00,1051.28
1737395144,105.00,1051.28
1737395145,105.00,1051.28
1737395146,110.00,1051.28
1737395147,105.00,1051.28
1737395148,108.00,1051.28
1737395149,107.00,1051.28
1737395150,106.00,1051.28
